"country","n"
"Australia",8
"Bangladesh",1
"Bolivia",3
"Botswana",3
"Brazil",18
"Burkina",2
"Cameroon",1
"Canada",3
"China",2
"Colombia",9
"Cuba",4
"Czech Republic",1
"Denmark",1
"Egypt",2
"Ethiopia",3
"Finland",1
"France",7
"Germany",1
"Ghana",4
"Greece",1
"Haiti",1
"Hong Kong",1
"Hungary",1
"India",10
"Indonesia",7
"Iran",2
"Italy",5
"Ivory Coast",1
"Japan",4
"Kenya",1
"Libya",1
"Mali",1
"Mexico",6
"Morocco",1
"Myanmar",1
"Nepal",1
"Netherlands",8
"Niger",2
"Nigeria",5
"Pakistan",2
"Poland",2
"Portugal",9
"South Africa",3
"Spain",9
"Sudan",2
"Switzerland",1
"Syria",1
"Tanzania",2
"Thailand",1
"Uganda",4
"United Kingdom",3
"United States",38
"Venezuela",1
"Vietnam",2
"Zambia",4
"Zimbabwe",5
